F S   UID     PID    PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
1 I     0     153       2  0  60 -20 -     0 -      ?        00:00:00 kstrp
1 I     0     157       2  0  60 -20 -     0 -      ?        00:00:00 zswap-shrink
1 I     0     159       2  0  60 -20 -     0 -      ?        00:00:07 kworker/u17:0-rb_allocator
1 I     0     164       2  0  60 -20 -     0 -      ?        00:00:00 charger_manager
1 I     0     186       2  0  60 -20 -     0 -      ?        00:01:37 kworker/1:1H-events_highpri
1 I     0     220       2  0  60 -20 -     0 -      ?        00:06:09 kworker/3:1H-events_highpri
1 I     0     223       2  0  60 -20 -     0 -      ?        00:00:00 nvme-wq
1 I     0     224       2  0  60 -20 -     0 -      ?        00:00:00 nvme-reset-wq
1 I     0     225       2  0  60 -20 -     0 -      ?        00:00:00 nvme-delete-wq
1 I     0     227       2  0  60 -20 -     0 -      ?        00:00:22 kworker/5:1H-events_highpri
1 I     0     228       2  0  60 -20 -     0 -      ?        00:00:23 kworker/6:1H-events_highpri
1 S     0     231       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_0
1 I     0     232       2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_0
1 S     0     233       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_1
1 I     0     234       2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_1
1 S     0     235       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_2
1 I     0     236       2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_2
1 S     0     237       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_3
1 I     0     238       2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_3
1 S     0     239       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_4
1 I     0     240       2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_4
1 I     0     244       2  0  60 -20 -     0 -      ?        00:01:00 kworker/4:1H-events_highpri
1 S     0     247       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_5
1 I     0     248       2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_5
1 S     0     249       2  0  80   0 -     0 -      ?        00:09:41 usb-storage
1 I     0     250       2  0  60 -20 -     0 -      ?        00:00:00 uas
1 S     0     272       2  0  80   0 -     0 -      ?        00:02:34 jbd2/nvme0n1p6-
1 I     0     273       2  0  60 -20 -     0 -      ?        00:00:00 ext4-rsv-conver
4 S     0     314       1  0  79  -1 - 32734 -      ?        00:39:52 systemd-journal
4 S     0     367       1  0  80   0 -  6680 -      ?        00:00:07 systemd-udevd
1 I     0     368       2  0  60 -20 -     0 -      ?        00:00:00 ipmi-msghandler
1 S     0     423       2  0   9   - -     0 -      ?        00:00:00 irq/145-mei_me
1 I     0     436       2  0  60 -20 -     0 -      ?        00:00:00 cfg80211
1 S     0     449       2  0   9   - -     0 -      ?        00:47:34 irq/146-iwlwifi
1 I     0     470       2  0  60 -20 -     0 -      ?        00:00:00 cryptd
4 S   128     508       1  0  80   0 -  3706 -      ?        01:52:06 systemd-oomd
4 S   101     509       1  0  80   0 -  6446 -      ?        00:03:25 systemd-resolve
4 S   102     510       1  0  80   0 - 22344 -      ?        00:00:08 systemd-timesyn
1 I     0     515       2  0  60 -20 -     0 -      ?        00:00:00 kworker/u17:1-hci0
1 S     0     567       2  0   9   - -     0 -      ?        00:00:00 card0-crtc0
1 S     0     568       2  0   9   - -     0 -      ?        00:00:00 card0-crtc1
1 S     0     570       2  0   9   - -     0 -      ?        00:00:00 card0-crtc2
1 I     0     597       2  0  60 -20 -     0 -      ?        00:00:00 nvkm-disp
1 S     0     612       2  0   9   - -     0 -      ?        00:00:00 card1-crtc0
1 S     0     613       2  0   9   - -     0 -      ?        00:00:00 card1-crtc1
1 S     0     614       2  0   9   - -     0 -      ?        00:00:00 card1-crtc2
1 S     0     615       2  0   9   - -     0 -      ?        00:00:00 card1-crtc3
4 S     0     635       1  0  80   0 -   703 -      ?        00:00:00 acpid
4 R   115     640       1  6  80   0 -  3429 -      ?        3-00:55:03 avahi-daemon
4 S     0     641       1  0  80   0 -  2648 -      ?        00:00:00 bluetoothd
4 S   103     642       1  0  80   0 -  3606 -      ?        00:10:33 dbus-daemon
4 S     0     654       1  0  80   0 - 20700 -      ?        00:08:50 irqbalance
4 S     0     657       1  0  80   0 - 10592 -      ?        00:00:00 networkd-dispat
4 S     0     661       1  0  80   0 - 61098 -      ?        00:00:52 polkitd
4 S     0     665       1  0  80   0 - 60351 -      ?        00:00:00 power-profiles-
4 S   104     671       1  0  80   0 - 55613 -      ?        00:07:56 rsyslogd
4 S     0     678       1  0  80   0 - 60467 -      ?        00:07:56 accounts-daemon
4 S     0     680       1  0  80   0 -  2701 -      ?        00:00:10 cron
